Designator,Footprint,Quantity,Value,LCSC Part #
B1,PUI_HD-EMC1003-3-LW27,1,HD-EMC1003-3-LW27,
BT1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Battery_Cell,
C1,1206,1,4.7uF,
"C10, C13, C15, C20, C3, C8",1206,6,22uF,
"C11, C16, C4, C9",1206,4,10uF,
"C12, C5",0603,2,1uF,
"C14, C18, C19, C21, C22, C6, C7",0603,7,100nF,
"C17, C2",0603,2,0.1uF,
"D1, D5",SODFL1608X70N,2,ESD7351XV2T1G,
"D10, D7, D8",DIOM5127X229N,3,SS14-M3_5AT,
"D2, D3, D4, D6",0603,4,LED,
IC1,SOTFL50P160X60-8N,1,TPS629203QDRLRQ1,
IC2,AP63203WU7,1,AP63203WU-7,
IC3,SON50P200X200X80-9N,1,BQ25176MDSGR,
IC4,SOTFL50P160X60-6N,1,TPS61023DRLR,
IC5,BMP390,1,BMP390,
IC6,LSM6DSLTR,1,LSM6DSLTR,
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,Conn_01x02,
J2,PinHeader_1x07_P2.54mm_Vertical,1,Conn_01x07,
L1,1008,1,2.2uH,
L2,1008,1,4.7uH,
L3,1008,1,1uH,
"Q1, Q2",CSD16301Q2,2,CSD16301Q2,
Q3,SOT95P237X112-3N,1,IRLML6344TRPBF,
R1,0603,1,34k,
"R10, R12, R18, R20, R23, R9",0603,6,10k,
"R11, R17",0603,2,680R,
R13,0603,1,604,
R14,0603,1,24.3k,
R15,0603,1,732k,
R16,0603,1,100k,
R19,0603,1,1k,
"R2, R22, R4",0603,3,4.7k,
R21,0603,1,100R,
R3,0603,1,R330,
R5,0603,1,64.9k,
"R6, R7",0603,2,5.1M,
R8,0603,1,2.2K,
"TP1, TP3, TP6, TP7, TP8",PinHeader_1x02_P2.54mm_Vertical,5,TestPoint_2Pole,
"TP2, TP4, TP5",PinHeader_1x01_P2.54mm_Vertical,3,TestPoint,
U1,SON50P150X150X80-6N,1,BQ29700DSER,
U2,Xiao_ESP32-C3,1,Xiao_ESP32-C3,
