Designator,Mid X,Mid Y,Rotation,Layer
B1,136.0,-132.85,0.0,top
BT1,143.375,-68.5,0.0,top
C1,128.301,-93.0,270.0,top
C10,148.55,-90.349,270.0,top
C11,124.125,-74.5,0.0,top
C12,159.125,-87.75,180.0,top
C13,132.375,-68.25,270.0,top
C14,161.875,-120.75,0.0,top
C15,129.875,-68.25,270.0,top
C16,161.85,-122.75,0.0,top
C17,144.625,-131.0,0.0,top
C18,125.363,-111.263,90.0,top
C19,143.538,-117.088,0.0,top
C2,161.125,-66.55,270.0,top
C20,145.375,-127.75,0.0,top
C21,128.613,-114.263,0.0,top
C22,146.788,-113.838,90.0,top
C3,124.801,-96.25,180.0,top
C4,138.55,-90.599,270.0,top
C5,164.375,-90.0,270.0,top
C6,142.5,-93.75,180.0,top
C7,149.499999,-152.5,270.0,top
C8,146.05,-90.349,270.0,top
C9,147.5,-152.5,270.0,top
D1,151.0,-152.5,270.0,top
D10,161.875,-117.0,0.0,top
D2,143.999999,-152.5,270.0,top
D3,167.375,-90.0,90.0,top
D4,165.875,-90.0,90.0,top
D5,161.875,-119.25,0.0,top
D6,161.875,-126.25,0.0,top
D7,141.40575,-132.75,270.0,top
D8,126.875,-67.225001,270.0,top
IC1,125.463,-92.0,0.0,top
IC2,142.3,-90.349,180.0,top
IC3,160.325,-90.0,0.0,top
IC4,123.875,-69.5,0.0,top
IC5,125.113,-114.75,0.0,top
IC6,143.375,-114.088,0.0,top
J1,161.875,-111.225,0.0,top
J2,138.75,-154.290001,0.0,top
L1,122.801,-92.25,90.0,top
L2,143.625,-96.0,0.0,top
L3,124.625,-72.0,0.0,top
Q1,163.6,-70.65,0.0,top
Q2,156.899999,-70.65,180.0,top
Q3,145.175,-133.75,180.0,top
R1,126.551,-89.175,90.0,top
R10,165.125,-87.75,0.0,top
R11,145.499999,-152.5,270.0,top
R12,157.875,-90.0,90.0,top
R13,156.375,-90.0,90.0,top
R14,162.875,-90.0,270.0,top
R15,122.125,-67.75,180.0,top
R16,121.875,-70.0,270.0,top
R17,161.875,-124.75,0.0,top
R18,162.0,-86.25,180.0,top
R19,162.0,-84.75,0.0,top
R2,166.0,-138.0,270.0,top
R20,147.875,-131.0,180.0,top
R21,148.875,-133.75,180.0,top
R22,143.788,-110.088,270.0,top
R23,158.75,-139.675,270.0,top
R3,163.125,-66.55,90.0,top
R4,166.0,-142.25,90.0,top
R5,125.051,-89.175,90.0,top
R6,158.875,-67.3,180.0,top
R7,155.875,-66.55,270.0,top
R8,165.125,-66.55,270.0,top
R9,165.125,-86.25,0.0,top
TP1,143.38,-59.75,270.0,top
TP2,160.625,-61.5,0.0,top
TP3,126.12,-83.75,90.0,top
TP4,169.000707,-70.797879,0.0,top
TP5,155.75,-61.5,0.0,top
TP6,168.75,-64.495,0.0,top
TP7,142.87,-83.75,90.0,top
TP8,125.62,-59.75,90.0,top
U1,158.875,-65.55,0.0,top
U2,161.875,-143.9315,180.0,top
